miRNA,mRNA
hsa-miR-1299,HMCN1
hsa-miR-4477b,TSC22D2
hsa-miR-1299,ZNF37A
hsa-miR-1299,OCA2
hsa-miR-573,ZFAND4
hsa-miR-1267,PLSCR1
hsa-miR-573,OAS2
hsa-miR-4477b,ATAD5
hsa-miR-573,STK17A
hsa-miR-1299,TRIM25
hsa-miR-568,MOB1B
hsa-miR-573,ZNF439
hsa-miR-3609,NUPL2
hsa-miR-573,CANX
hsa-miR-3609,WDR77
hsa-miR-573,HS3ST1
hsa-miR-3609,WNK3
hsa-miR-3609,TSR1
hsa-miR-3609,TP53INP1
hsa-miR-573,TNFAIP3
hsa-miR-573,SLC45A4
hsa-miR-573,PLCG1
hsa-miR-3609,GLIS3
hsa-miR-573,DR1
hsa-miR-3167,CLCN6
hsa-miR-573,ZNHIT3
hsa-miR-573,BMPR1A
hsa-miR-1299,C1orf109
hsa-miR-573,EHD3
hsa-miR-1299,EHD3
hsa-miR-3609,TMEM9B
hsa-miR-1299,ADAMTS5
hsa-miR-573,ADM
hsa-miR-573,PGGT1B
hsa-miR-573,GPR107
hsa-miR-1255a,PIN1
hsa-miR-1255a,ALDH3B1
hsa-miR-4705,TMEM68
hsa-miR-4477b,RPL30
hsa-miR-1255a,EIF5AL1
hsa-miR-3609,ZNF3
hsa-miR-3609,CRCP
hsa-miR-421,CEBPD
hsa-miR-4477b,COMMD5
hsa-miR-4705,AP1S3
hsa-miR-421,MTAP
hsa-miR-3609,NEDD9
hsa-miR-3609,AAED1
hsa-miR-573,RXRB
hsa-miR-1255a,C6orf106
hsa-miR-1255a,MRPL9
hsa-miR-4477b,CRB1
hsa-miR-1255a,NCR3LG1
hsa-miR-1255a,MRPL12
hsa-miR-3609,FUT10
hsa-miR-1255a,RNF185
hsa-miR-3609,CD55
hsa-miR-1255a,SAMD4B
hsa-miR-421,VPS37C
hsa-miR-1255a,KIAA1191
hsa-miR-3609,S100A11
hsa-miR-421,TM9SF1
hsa-miR-621,ACTR3B
hsa-miR-1255a,MPDU1
hsa-miR-3609,AKR7A2
hsa-miR-4477b,SETX
hsa-miR-4705,STS
hsa-miR-3167,ZNF507
hsa-miR-3167,ZNF131
hsa-miR-568,ZKSCAN8
hsa-miR-3609,ZFYVE9
hsa-miR-3609,ZBTB33
hsa-miR-1255a,VPS28
hsa-miR-421,VMP1
hsa-miR-1255a,TROVE2
hsa-miR-3609,TRIP10
hsa-miR-3609,TMEM64
hsa-miR-3609,THBS1
hsa-miR-3609,TFAM
hsa-miR-3167,TAOK1
hsa-miR-568,SLITRK4
hsa-miR-3609,SLC22A23
hsa-miR-568,SKIL
hsa-miR-1255a,RNF168
hsa-miR-573,RNF144B
hsa-miR-4477b,RDH10
hsa-miR-3609,PXK
hsa-miR-3609,PURB
hsa-miR-1267,PPP1R15B
hsa-miR-3609,PPP1R15B
hsa-miR-621,PPP1R15B
hsa-miR-1255a,PLXND1
hsa-miR-1255a,PLAGL2
hsa-miR-1255a,PDPR
hsa-miR-3609,NUFIP2
hsa-miR-3609,NPAT
hsa-miR-3609,NIN
hsa-miR-3687,MEMO1
hsa-miR-1255a,MEF2D
hsa-miR-568,MCFD2
hsa-miR-4705,MCFD2
hsa-miR-1255a,MAPK1
hsa-miR-573,LRRC58
hsa-miR-3609,LARP1
hsa-miR-3609,KLF6
hsa-miR-1255a,IFNLR1
hsa-miR-3609,HSPA8
hsa-miR-568,GXYLT1
hsa-miR-1255a,GRB2
hsa-miR-1255a,GATAD2B
hsa-miR-3609,G2E3
hsa-miR-3609,FEM1B
hsa-miR-3609,FBXL5
hsa-miR-3609,F3
hsa-miR-568,ETV3
hsa-miR-3609,ERGIC2
hsa-miR-4477b,ELMSAN1
hsa-miR-3167,DNAJB9
hsa-miR-4705,DENND5B
hsa-miR-4477b,DDX6
hsa-miR-573,DDN
hsa-miR-3609,DCAF8
hsa-miR-1255a,CPS1
hsa-miR-3609,COIL
hsa-miR-3609,CNOT6L
hsa-miR-1255a,CKS2
hsa-miR-1255a,CHTF8
hsa-miR-3609,CHSY1
hsa-miR-1299,CCND1
hsa-miR-4477b,CAPRIN2
hsa-miR-4477b,CAND1
hsa-miR-4477b,CAD
hsa-miR-3167,C8orf58
hsa-miR-3167,C8orf4
hsa-miR-3609,BZW1
hsa-miR-3609,BMP2
hsa-miR-3609,ATXN7L3B
hsa-miR-3609,ATL3
hsa-miR-3609,APEX1
hsa-miR-3609,ANKRD11
hsa-miR-3609,ANKH
hsa-miR-573,DYNLL1
hsa-miR-4477b,TYRP1
hsa-miR-1267,PIP4K2A
hsa-miR-1255a,GPX7
hsa-miR-1299,ZNFX1
hsa-miR-3609,ZNFX1
hsa-miR-3609,ZFYVE26
hsa-miR-3609,RRAS2
hsa-miR-3609,PTP4A1
hsa-miR-3167,CALM2
hsa-miR-1299,ZFP36
hsa-miR-1299,UBBP4
hsa-miR-1299,DHCR24
hsa-miR-4705,VPS13B
hsa-miR-573,ADPRHL1
hsa-miR-573,CLN8
hsa-miR-421,ARHGAP22
hsa-miR-1255a,MNT
hsa-miR-3609,UGCG
hsa-miR-3609,SEMA7A
hsa-miR-3609,MKNK2
hsa-miR-3609,KIAA0513
hsa-miR-3609,HBP1
hsa-miR-568,GNG5
hsa-miR-4705,FSCN1
hsa-miR-568,DUSP2
hsa-miR-3609,DUSP2
hsa-miR-3609,CAPN15
hsa-miR-3609,ANKRD33B
hsa-miR-4705,PLEKHA3
hsa-miR-4705,SLC2A13
hsa-miR-568,GCK
hsa-miR-4477b,SPRY1
hsa-miR-421,FAM155B
hsa-miR-568,SH3BP5
hsa-miR-1267,REPS1
hsa-miR-1299,METTL8
hsa-miR-3609,FAM46A
hsa-miR-573,MTR
hsa-miR-3609,FEM1C
hsa-miR-3609,ABHD17B
hsa-miR-1255a,LITAF
hsa-miR-421,CBWD1
hsa-miR-421,CBWD5
hsa-miR-573,GPR137C
hsa-miR-3609,KIAA1191
hsa-miR-3609,TMEM127
hsa-miR-573,SMAD7
hsa-miR-3609,PTPN4
hsa-miR-421,PPTC7
hsa-miR-3609,MAPRE3
hsa-miR-573,MAPK1
hsa-miR-3609,GIGYF1
hsa-miR-3167,CTC1
hsa-miR-573,CAMSAP2
hsa-miR-3609,GINS4
hsa-miR-3609,MDM2
hsa-miR-3609,ZNF780A
hsa-miR-3609,TMEM242
hsa-miR-3609,C9orf40
hsa-miR-573,VAV3
hsa-miR-573,TXNIP
hsa-miR-568,TMEM167A
hsa-miR-3609,SRSF2
hsa-miR-3609,SEPT2
hsa-miR-3609,RAB11FIP1
hsa-miR-3167,PRDX3
hsa-miR-3609,PFKP
hsa-miR-421,PDPK1
hsa-miR-3609,NAGK
hsa-miR-3609,NACC2
hsa-miR-3609,MSANTD4
hsa-miR-3609,MARCH6
hsa-miR-568,LZIC
hsa-miR-3609,LZIC
hsa-miR-3609,KIAA1147
hsa-miR-3609,FZD9
hsa-miR-3609,FOXK2
hsa-miR-3609,FAM129A
hsa-miR-568,EIF1AX
hsa-miR-573,CPEB4
hsa-miR-1267,CDKN1B
hsa-miR-3167,ATXN1
hsa-miR-3609,ANKRD52
hsa-miR-1299,ZNF850
hsa-miR-3609,ZNF850
hsa-miR-1255a,TMEM106B
hsa-miR-421,TSC22D3
hsa-miR-621,ACTG1
hsa-miR-421,GALK2
hsa-miR-1255a,C8orf37
hsa-miR-1255a,SLC2A3
hsa-miR-1299,PRRX1
hsa-miR-3609,NIPA1
hsa-miR-3609,KLHL36
hsa-miR-4477b,HSPA13
hsa-miR-573,HNRNPF
hsa-miR-573,BTBD19
hsa-miR-1299,STEAP3
hsa-miR-3609,CD59
hsa-miR-3609,NARS
hsa-miR-568,SLC7A14
hsa-miR-3167,TOR1B
hsa-miR-3167,PER1
hsa-miR-3609,GRB10
hsa-miR-621,CNOT6
hsa-miR-3609,CEP97
hsa-miR-3609,CENPQ
hsa-miR-3609,BNIP2
hsa-miR-3609,EPS15L1
hsa-miR-3167,RBM4B
hsa-miR-3609,DNTTIP2
hsa-miR-573,IFNGR1
hsa-miR-3609,COX19
hsa-miR-3609,ITM2C
hsa-miR-568,TRIM35
hsa-miR-3167,ALG1
hsa-miR-3167,TIMELESS
hsa-miR-568,ZNF609
hsa-miR-1299,YOD1
hsa-miR-421,UBE2D3
hsa-miR-573,RPP14
hsa-miR-573,PPIG
hsa-miR-573,PHIP
hsa-miR-4477b,HIST1H3E
hsa-miR-3167,HIST1H3E
hsa-miR-3609,CRLF3
hsa-miR-3609,BTG3
hsa-miR-4477b,ARPP19
hsa-miR-3609,ZNF93
hsa-miR-4705,SYNM
hsa-miR-4705,USP51
hsa-miR-421,SLC6A13
hsa-miR-421,PARP11
hsa-miR-3167,PLEKHG2
hsa-miR-3609,SERF1B
hsa-miR-3167,HTR7
hsa-miR-421,BTRC
hsa-miR-568,PIGN
hsa-miR-421,TRIM4
hsa-miR-3609,H1F0
hsa-miR-3167,P2RX7
hsa-miR-1299,PAGR1
hsa-miR-1255a,ALG10B
hsa-miR-3167,P2RY1
hsa-miR-573,PEX13
hsa-miR-1255a,CYGB
hsa-miR-1255a,ZNF333
hsa-miR-4477b,ZNF626
hsa-miR-3609,ZNF264
hsa-miR-3609,MTPAP
hsa-miR-3609,RTTN
hsa-miR-421,SYT4
hsa-miR-3167,VPS4A
hsa-miR-1267,VKORC1L1
hsa-miR-3609,U2SURP
hsa-miR-3167,TXLNG
hsa-miR-3609,TGFBR2
hsa-miR-3609,TBL1XR1
hsa-miR-3609,STC2
hsa-miR-3167,RORA
hsa-miR-3609,RNASEH1
hsa-miR-1267,RAVER2
hsa-miR-573,PLEKHB2
hsa-miR-573,PIWIL2
hsa-miR-1299,PEX5L
hsa-miR-573,PDIK1L
hsa-miR-1267,PARVB
hsa-miR-1299,NUDT21
hsa-miR-4705,MTSS1L
hsa-miR-4477b,MAML3
hsa-miR-1267,LIMA1
hsa-miR-421,JARID2
hsa-miR-421,IGF1
hsa-miR-1267,HSPA4L
hsa-miR-1255a,GPR137C
hsa-miR-4477b,GOLGA3
hsa-miR-1255a,EPHA2
hsa-miR-3167,EPB41L1
hsa-miR-3609,ELAVL2
hsa-miR-3609,EIF4H
hsa-miR-573,EIF6
hsa-miR-3609,DNAJC10
hsa-miR-1255a,DNAJB4
hsa-miR-4477b,CLDN12
hsa-miR-1299,CCT5
hsa-miR-3609,CAPRIN2
hsa-miR-573,BTBD1
hsa-miR-3167,BRI3BP
hsa-miR-1299,AVL9
hsa-miR-573,ADARB2
hsa-miR-1267,ABCF1
hsa-miR-3609,EIF3H
hsa-miR-421,RGR
hsa-miR-1255a,UTP6
hsa-miR-3609,GLO1
hsa-miR-3609,ZC3HAV1
hsa-miR-3609,PEX2
hsa-miR-4705,SLC25A46
hsa-miR-3609,SLC25A46
hsa-miR-3609,WDR13
hsa-miR-3609,RPS15A
hsa-miR-3609,KLHL15
hsa-miR-3609,GDF11
hsa-miR-573,FICD
hsa-miR-568,ACTR6
hsa-miR-3609,RPF2
hsa-miR-4477b,COCH
hsa-miR-3609,IFNGR1
hsa-miR-568,SLC25A46
hsa-miR-621,SLC25A46
hsa-miR-1255a,ZKSCAN8
hsa-miR-1255a,BASP1
hsa-miR-568,C15orf40
hsa-miR-3609,ADAMTS9
hsa-miR-3609,HIST1H2BD
hsa-miR-1299,ZC3H4
hsa-miR-421,TPRG1L
hsa-miR-3609,TNFRSF21
hsa-miR-3609,TMEM200C
hsa-miR-621,RORA
hsa-miR-3609,RAP2C
hsa-miR-3609,RAB4A
hsa-miR-3609,PLRG1
hsa-miR-568,MED13
hsa-miR-4705,GOLGA8B
hsa-miR-4477b,GFPT1
hsa-miR-3609,FJX1
hsa-miR-1255a,EPHA4
hsa-miR-3609,EPHA4
hsa-miR-3609,ENPP5
hsa-miR-3609,EGLN3
hsa-miR-1299,EEF2
hsa-miR-3609,CERCAM
hsa-miR-1255a,CCND2
hsa-miR-3609,C16orf70
hsa-miR-3609,ATXN1
hsa-miR-3609,ADAR
hsa-miR-568,NDUFA6
hsa-miR-568,ARL13B
hsa-miR-3609,LUZP2
hsa-miR-421,RSRC1
hsa-miR-1255a,MDM2
hsa-miR-3609,TRAPPC2
hsa-miR-3609,TAF6
hsa-miR-1255a,ZNF766
hsa-miR-3609,PVR
hsa-miR-573,DCTPP1
hsa-miR-4477b,ZNF267
hsa-miR-621,ZNF704
hsa-miR-3609,ZBTB18
hsa-miR-568,YY1
hsa-miR-3609,YWHAZ
hsa-miR-3167,USP48
hsa-miR-3609,USP48
hsa-miR-3609,TNKS2
hsa-miR-573,SIPA1L2
hsa-miR-3609,SIPA1L2
hsa-miR-3609,SH3GLB1
hsa-miR-3609,SAMD12
hsa-miR-3609,RUFY2
hsa-miR-3609,RRN3
hsa-miR-3609,RPS6KA5
hsa-miR-568,RHOC
hsa-miR-3609,RHOC
hsa-miR-3609,RGMB
hsa-miR-3609,RAB39B
hsa-miR-1299,PURB
hsa-miR-3609,PTPDC1
hsa-miR-421,PRICKLE2
hsa-miR-3609,PRICKLE2
hsa-miR-3609,MAPK1
hsa-miR-421,GOSR1
hsa-miR-421,GAS1
hsa-miR-3609,FOXJ2
hsa-miR-4477b,EFCAB14
hsa-miR-3609,EFCAB14
hsa-miR-3609,DNAJC28
hsa-miR-4705,DICER1
hsa-miR-568,DGKH
hsa-miR-1267,CUL2
hsa-miR-421,CSNK1A1
hsa-miR-4477b,CNOT6L
hsa-miR-3167,CBX1
hsa-miR-3609,CBX1
hsa-miR-3609,CAMLG
hsa-miR-1267,ATP5G3
hsa-miR-4705,ATP11C
hsa-miR-3609,ARSJ
hsa-miR-573,ARL8A
hsa-miR-573,RBM23
hsa-miR-573,HIPK1
hsa-miR-4705,TRIM38
hsa-miR-1267,SYNCRIP
hsa-miR-3609,TXNIP
hsa-miR-421,TUBB2A
hsa-miR-1299,TRIB3
hsa-miR-1267,SOX4
hsa-miR-421,REST
hsa-miR-3167,KIAA0895
hsa-miR-3609,HMGB2
hsa-miR-573,GLO1
hsa-miR-4477b,EIF2S2
hsa-miR-3609,CCDC71L
hsa-miR-568,ANP32A
hsa-miR-621,KIAA1456
hsa-miR-3609,LRPAP1
hsa-miR-3609,TRIM27
hsa-miR-568,C6orf48
hsa-miR-568,CLVS2
hsa-miR-4477b,SDE2
hsa-miR-3167,TTLL12
hsa-miR-421,YTHDF1
hsa-miR-1299,WTAP
hsa-miR-421,UQCRFS1
hsa-miR-421,TXNRD1
hsa-miR-3609,SMG1
hsa-miR-4705,RCC2
hsa-miR-421,RACGAP1
hsa-miR-421,QSER1
hsa-miR-4477b,PTBP1
hsa-miR-1267,PAWR
hsa-miR-4705,NUS1
hsa-miR-4477b,NUFIP2
hsa-miR-3609,LRP12
hsa-miR-3609,KCNB1
hsa-miR-3609,ITGB1
hsa-miR-4477b,GNG5
hsa-miR-4477b,GNG12
hsa-miR-3609,FGFR1OP
hsa-miR-3609,FAM210A
hsa-miR-568,EIF5
hsa-miR-3609,DGAT2
hsa-miR-1255a,CRKL
hsa-miR-3609,CRK
hsa-miR-4705,AMACR
hsa-miR-1267,INSIG1
hsa-miR-3609,RBM12B
hsa-miR-3609,CKAP2
hsa-miR-3609,F2R
hsa-miR-573,SYT9
hsa-miR-3167,ZNF256
hsa-miR-1299,RPRD2
hsa-miR-3609,RPRD2
hsa-miR-3609,NKIRAS1
hsa-miR-1255a,LCOR
hsa-miR-1255a,DNAJC24
hsa-miR-3609,DESI1
hsa-miR-3609,C18orf32
hsa-miR-568,BTN3A3
hsa-miR-4477b,ANP32E
hsa-miR-3167,AKR7A2
hsa-miR-3609,LIMA1
hsa-miR-3609,SNAP47
hsa-miR-4477b,CMTM6
hsa-miR-1255a,ZBTB37
hsa-miR-1255a,SLC7A5
hsa-miR-3167,RPS16
hsa-miR-1299,KLHL15
hsa-miR-573,HNRNPA0
hsa-miR-3609,HAUS8
hsa-miR-568,ARRB1
hsa-miR-1255a,ENDOD1
hsa-miR-3609,PRKCB
hsa-miR-573,MAPKAPK5
hsa-miR-1299,CNOT6
hsa-miR-421,MYBPC1
hsa-miR-3609,BRI3BP
hsa-miR-3167,RBMXL1
hsa-miR-3167,SRRM4
hsa-miR-1255a,ICAM1
hsa-miR-573,ZNF106
hsa-miR-421,VSIG10
hsa-miR-421,TNRC6C
hsa-miR-1299,SMOC2
hsa-miR-621,CEP72
hsa-miR-3609,SH3KBP1
hsa-miR-421,RREB1
hsa-miR-1267,MVK
hsa-miR-1299,CCDC158
hsa-miR-3609,FAXC
hsa-miR-421,FAM89A
hsa-miR-3609,MEMO1
hsa-miR-1267,GATAD1
hsa-miR-568,RUNX1T1
hsa-miR-3609,FAM126B
hsa-miR-3167,FUT11
hsa-miR-1267,CCS
hsa-miR-1267,MTO1
hsa-miR-3167,HSPD1
hsa-miR-1299,ZNF326
hsa-miR-573,FBXL4
hsa-miR-1267,WSCD2
hsa-miR-4477b,TFCP2
hsa-miR-421,TCF7L2
hsa-miR-1299,SSBP2
hsa-miR-3609,KCNK10
hsa-miR-421,INTU
hsa-miR-421,FBXL16
hsa-miR-1267,DGKE
hsa-miR-3609,CBX8
hsa-miR-4477b,AAGAB
hsa-miR-3609,C15orf41
hsa-miR-568,PLCXD1
hsa-miR-1267,MKLN1
hsa-miR-4705,SRSF7
hsa-miR-421,CSE1L
hsa-miR-1267,ANO8
hsa-miR-1267,HS3ST1
hsa-miR-1267,TSHZ2
hsa-miR-1267,TAS2R5
hsa-miR-568,SRRM4
hsa-miR-1255a,RAPGEF1
hsa-miR-1267,UNC13A
hsa-miR-573,RAB13
hsa-miR-1267,DUSP18
hsa-miR-3609,PAK6
hsa-miR-1267,MYH11
hsa-miR-1267,LRCH3
hsa-miR-1267,CDK4
hsa-miR-1267,BAMBI
hsa-miR-1267,IBA57
