miRNA,lncRNA,mRNA
hsa-miR-1255a,OIP5-AS1,VPS28
hsa-miR-1255a,OIP5-AS1,MEF2D
hsa-miR-1255a,OIP5-AS1,UBP1
hsa-miR-1255a,OIP5-AS1,RHOG
hsa-miR-1255a,OIP5-AS1,ZBTB37
hsa-miR-1255a,OIP5-AS1,PTK7
hsa-miR-1255a,OIP5-AS1,PLXND1
hsa-miR-1255a,OIP5-AS1,MNT
hsa-miR-1255a,OIP5-AS1,FUS
hsa-miR-1255a,OIP5-AS1,ITGA3
hsa-miR-1255a,OIP5-AS1,EIF5AL1
hsa-miR-1255a,OIP5-AS1,HIC2
hsa-miR-1255a,OIP5-AS1,C8orf37
hsa-miR-1255a,OIP5-AS1,YWHAZ
hsa-miR-1255a,OIP5-AS1,AZIN1
hsa-miR-1255a,OIP5-AS1,C6orf106
hsa-miR-1255a,OIP5-AS1,PISD
hsa-miR-1255a,OIP5-AS1,MAPK1
hsa-miR-1255a,OIP5-AS1,NAA20
hsa-miR-1255a,OIP5-AS1,NUP62
hsa-miR-1255a,OIP5-AS1,MRPL9
hsa-miR-1255a,OIP5-AS1,CHD9
hsa-miR-1255a,OIP5-AS1,ZNF333
hsa-miR-1255a,OIP5-AS1,CDC73
hsa-miR-1255a,OIP5-AS1,ATP7B
hsa-miR-1255a,OIP5-AS1,FEM1B
hsa-miR-1255a,OIP5-AS1,TRIM23
hsa-miR-1255a,OIP5-AS1,ENDOD1
hsa-miR-1255a,BCYRN1,CHTF8
hsa-miR-1255a,BCYRN1,FAM102A
hsa-miR-1255a,BCYRN1,GATAD2B
hsa-miR-1255a,BCYRN1,KAT7
hsa-miR-1255a,BCYRN1,PIAS1
hsa-miR-1255a,BCYRN1,SRRT
hsa-miR-1255a,BCYRN1,XRCC1
hsa-miR-1255a,BCYRN1,TAOK1
hsa-miR-1255a,BCYRN1,C21orf91
hsa-miR-1255a,BCYRN1,CRKL
hsa-miR-1255a,BCYRN1,ARID1A
hsa-miR-1255a,BCYRN1,DCXR
hsa-miR-1255a,BCYRN1,CKS2
hsa-miR-1255a,BCYRN1,EIF5A
hsa-miR-1255a,BCYRN1,NMNAT2
hsa-miR-1255a,BCYRN1,PARP9
hsa-miR-1255a,BCYRN1,TADA2B
hsa-miR-1255a,BCYRN1,ST18
hsa-miR-1255a,BCYRN1,TMEM106B
hsa-miR-1255a,BCYRN1,IFNLR1
hsa-miR-1255a,BCYRN1,ZKSCAN8
hsa-miR-1255a,BCYRN1,C1orf109
hsa-miR-1255a,BCYRN1,ARHGEF2
hsa-miR-1255a,BCYRN1,RNF185
hsa-miR-1255a,BCYRN1,GAS7
hsa-miR-1255a,BCYRN1,RAPGEF1
hsa-miR-1255a,BCYRN1,BASP1
hsa-miR-1255a,BCYRN1,KIAA1191
hsa-miR-1255a,BCYRN1,DCP2
hsa-miR-1255a,BCYRN1,SRD5A3
hsa-miR-1255a,BCYRN1,HIPK1
hsa-miR-1255a,BCYRN1,SPATA2
hsa-miR-1255a,BCYRN1,PXN
hsa-miR-1255a,BCYRN1,GRB2
hsa-miR-1255a,BCYRN1,VEZF1
hsa-miR-1255a,BCYRN1,MAD2L1
hsa-miR-1255a,BCYRN1,CAND1
hsa-miR-1255a,BCYRN1,DNAJB4
hsa-miR-1255a,BCYRN1,ZNF550
hsa-miR-1255a,BCYRN1,DNAJC24
hsa-miR-1255a,BCYRN1,KLF3
hsa-miR-1255a,BCYRN1,CYGB
hsa-miR-1255a,BCYRN1,NUCKS1
hsa-miR-1255a,BCYRN1,S1PR1
hsa-miR-1255a,BCYRN1,MED19
hsa-miR-1255a,BCYRN1,TBC1D20
hsa-miR-1255a,BCYRN1,PDPR
hsa-miR-1255a,BCYRN1,RBM8A
hsa-miR-1255a,BCYRN1,ITGA2
hsa-miR-1255a,BCYRN1,RNF168
hsa-miR-1255a,BCYRN1,MRPL12
hsa-miR-1255a,BCYRN1,STARD4
hsa-miR-1255a,BCYRN1,FUT11
hsa-miR-1255a,BCYRN1,LIN52
hsa-miR-1255a,BCYRN1,FOXP4
hsa-miR-1255a,BCYRN1,NKAIN1
hsa-miR-1255a,BCYRN1,POFUT1
hsa-miR-1255a,BCYRN1,ZNF160
hsa-miR-1255a,BCYRN1,UNC5B
hsa-miR-1255a,BCYRN1,GPX7
hsa-miR-1255a,BCYRN1,ZHX1
hsa-miR-1255a,BCYRN1,PLAGL2
hsa-miR-1255a,BCYRN1,MAP3K2
hsa-miR-1255a,BCYRN1,MFSD2A
hsa-miR-1255a,BCYRN1,UBL5
hsa-miR-1255a,BCYRN1,TPI1
hsa-miR-1255a,BCYRN1,ZFP91
hsa-miR-1255a,BCYRN1,SLC2A3
hsa-miR-1255a,BCYRN1,MDM2
hsa-miR-1255a,BCYRN1,HDGF
hsa-miR-1255a,BCYRN1,PUM2
hsa-miR-1255a,BCYRN1,JMJD1C
hsa-miR-1255a,BCYRN1,PIN1
hsa-miR-1255a,BCYRN1,ALDH3B1
hsa-miR-1255a,BCYRN1,YWHAB
hsa-miR-1255a,BCYRN1,HTR5A-AS1
hsa-miR-1255a,BCYRN1,NLRX1
hsa-miR-1255a,BCYRN1,OPA1
hsa-miR-1255a,BCYRN1,LCOR
hsa-miR-1255a,BCYRN1,ALG10B
hsa-miR-1255a,BCYRN1,MTA1
hsa-miR-1255a,BCYRN1,SLC1A1
hsa-miR-1255a,BCYRN1,GPR137C
hsa-miR-1255a,BCYRN1,EPHA4
hsa-miR-1255a,BCYRN1,ZFP36
hsa-miR-1255a,BCYRN1,ZBTB40
hsa-miR-1255a,BCYRN1,NCR3LG1
hsa-miR-1255a,BCYRN1,UTP6
hsa-miR-1255a,BCYRN1,SLC7A5
hsa-miR-1255a,BCYRN1,ATP6V0A2
hsa-miR-1255a,BCYRN1,AGO2
hsa-miR-1255a,BCYRN1,EIF2AK1
hsa-miR-1255a,BCYRN1,ICAM1
hsa-miR-1255a,BCYRN1,HIST1H2BG
hsa-miR-1255a,BCYRN1,SAMD4B
hsa-miR-1255a,BCYRN1,CBLB
hsa-miR-1255a,BCYRN1,JARID2
hsa-miR-1255a,BCYRN1,ZNF766
hsa-miR-1255a,BCYRN1,POLR3C
hsa-miR-1255a,BCYRN1,LITAF
hsa-miR-1255a,BCYRN1,POU2F1
hsa-miR-1255a,BCYRN1,ATP11B
hsa-miR-1255a,BCYRN1,MPDU1
hsa-miR-1255a,BCYRN1,CPS1
